2025-05-17 16:13:32 - Review submitted: ID: 1, User: User, Service: Electrician, Rating: 5
2025-05-17 16:15:18 - Review submitted: ID: 2, User: User, Service: Cleaning, Rating: 5
2025-05-17 21:19:14 - Review submitted: ID: 3, User: Guest, Service: Electrician, Rating: 5
2025-05-17 21:19:48 - Review submitted: ID: 4, User: Guest, Service: Electrician, Rating: 5
2025-05-17 21:27:55 - Review submitted: ID: 5, User: mujtaba1, Service: Electrician, Rating: 4
2025-05-17 21:29:00 - Review submitted: ID: 6, User: mujtaba1, Service: Electrician, Rating: 5
2025-05-17 21:38:00 - Review submitted: ID: 7, User: Anonymous User, Service: Electrician, Rating: 5
2025-05-17 21:39:20 - Review submitted: ID: 8, User: mujtaba1, Service: Cleaning, Rating: 5
2025-05-17 21:40:06 - Review submitted: ID: 9, User: kunal, Service: Cleaning, Rating: 5
2025-05-17 21:41:03 - Review submitted: ID: 10, User: rahul23, Service: Cleaning, Rating: 5
